PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
DeMarre Carroll,HOU,33,16,8,8,148,35,9,29,31,3,13,23.1,14,22,63.6,9,25,34,15,13,2,2,20,97.3,0,0,19
Johnathan Williams,WAS,24,11,6,5,135,35,16,25,64,0,2,0,3,5,60,15,28,43,6,4,1,6,11,112.6,0,0,-47
Chris Chiozza,BKN,24,15,5,10,149,34,13,44,29.5,8,22,36.4,0,0,0,1,18,19,35,10,12,2,12,141.3,0,0,68
Tyson Chandler,HOU,37,26,15,11,219,34,14,18,77.8,0,0,0,6,13,46.2,25,41,66,6,8,6,8,32,156.2,0,0,30
Ed Davis,UTA,30,25,15,10,268,33,14,34,41.2,0,0,0,5,11,45.5,29,66,95,8,13,10,9,55,203,0,0,-88
Dragan Bender,GSW,22,8,7,1,111,32,12,29,41.4,6,14,42.9,2,5,40,2,23,25,12,5,0,6,16,93,0,0,45
Thanasis Antetokounmpo,MIL,27,15,13,2,61,30,13,23,56.5,0,3,0,4,9,44.4,6,1,7,6,5,2,1,9,51.4,0,0,-11
Dion Waiters,MIA,28,3,1,2,42,28,10,26,38.5,8,17,47.1,0,1,0,0,11,11,3,3,0,2,5,48.7,0,0,12
Johnathan Motley,LAC,24,13,8,5,41,28,11,15,73.3,1,1,100,5,7,71.4,3,7,10,8,5,3,0,6,56,0,0,3
Tremont Waters,BOS,22,9,7,2,73,28,10,28,35.7,2,15,13.3,6,6,100,0,7,7,10,8,5,2,10,64.4,0,0,21
Zach Collins,POR,22,3,2,1,86,27,9,19,47.4,3,7,42.9,6,6,100,4,8,12,6,6,0,2,11,50.4,0,0,19
Jeremy Pargo,GSW,33,3,0,3,44,25,11,22,50,3,7,42.9,0,1,0,1,2,3,8,4,1,0,8,39.6,0,0,0
Andre Iguodala,MIA,36,5,2,3,105,23,9,19,47.4,4,12,33.3,1,4,25,8,16,24,8,5,2,3,13,73.8,0,0,-12
Drew Eubanks,SAS,23,8,5,3,42,23,10,15,66.7,0,0,0,3,3,100,6,11,17,2,5,0,1,5,44.4,0,0,-39
Malcolm Miller,TOR,26,24,21,3,124,23,8,23,34.8,6,18,33.3,1,6,16.7,1,13,14,8,3,4,2,12,66.8,0,0,52
Stanley Johnson,TOR,23,19,15,4,95,23,8,30,26.7,2,13,15.4,5,6,83.3,3,19,22,8,8,4,2,10,71.4,0,0,-11
Caleb Martin,CHA,24,9,2,7,107,22,8,25,32,2,8,25,4,7,57.1,2,12,14,7,5,3,2,14,59.3,0,0,-11
Amir Coffey,LAC,22,7,2,5,67,20,9,20,45,1,5,20,1,3,33.3,2,8,10,4,2,1,1,6,42,0,0,9
Charles Brown Jr.,ATL,23,10,1,9,40,20,6,19,31.6,3,9,33.3,5,5,100,2,2,4,2,3,2,2,3,36.8,0,0,28
Louis King,DET,20,10,3,7,62,20,8,21,38.1,4,11,36.4,0,3,0,1,9,10,5,2,2,0,10,43.5,0,0,19
Juwan Morgan,UTA,22,15,10,5,68,19,9,16,56.3,1,4,25,0,0,0,5,14,19,2,3,0,1,7,44.8,0,0,26
Rayjon Tucker,UTA,22,13,10,3,75,19,8,19,42.1,0,6,0,3,5,60,2,10,12,2,3,1,0,7,36.4,0,0,-6
Tacko Fall,BOS,24,6,5,1,24,19,9,12,75,0,0,0,1,3,33.3,0,11,11,0,3,0,2,5,35.2,0,0,7
Tyler Cook,CLE,22,11,3,8,35,19,7,10,70,0,0,0,5,6,83.3,4,6,10,1,1,1,0,4,34.5,0,0,-14
Alize Johnson,IND,23,12,8,4,50,18,7,15,46.7,0,0,0,4,6,66.7,7,10,17,2,2,0,0,6,39.4,0,0,0
Melvin Frazier Jr.,ORL,23,14,4,10,48,18,6,17,35.3,4,7,57.1,2,4,50,1,3,4,1,2,4,2,8,40.3,0,0,4
Adam Mokoka,CHI,21,8,2,6,57,17,7,19,36.8,3,9,33.3,0,2,0,6,1,7,3,1,2,0,8,34.9,0,0,37
Ignas Brazdeikis,NYK,21,9,1,8,53,17,6,22,27.3,1,9,11.1,4,5,80,2,3,5,4,2,0,1,3,30,0,0,-12
Dean Wade,CLE,23,10,1,9,54,16,7,10,70,2,3,66.7,0,1,0,2,14,16,1,3,2,3,7,48.7,0,0,0
Yuta Watanabe,MEM,25,9,4,5,49,16,6,14,42.9,2,4,50,2,4,50,1,7,8,1,1,1,1,5,32.1,0,0,21
Amile Jefferson,ORL,26,18,5,13,74,15,5,14,35.7,0,0,0,5,14,35.7,10,13,23,4,3,1,3,7,57.6,0,0,18
Vlatko Cancar,DEN,22,11,6,5,38,15,5,11,45.5,1,5,20,4,4,100,3,5,8,3,3,1,1,6,32.1,0,0,1
Chandler Parsons,ATL,31,5,0,5,54,14,5,18,27.8,4,14,28.6,0,0,0,1,6,7,3,3,4,1,3,38.9,0,0,-40
Michael Frazier,HOU,25,8,5,3,66,14,4,11,36.4,2,8,25,4,6,66.7,1,2,3,1,2,2,0,13,23.1,0,0,-27
Naz Mitrou-Long,IND,26,3,2,1,43,14,6,16,37.5,2,11,18.2,0,0,0,0,6,6,7,2,1,1,1,35.7,0,0,18
BJ Johnson,ORL,24,8,4,4,46,13,5,18,27.8,1,6,16.7,2,2,100,1,5,6,2,3,2,0,0,26.2,0,0,-23
Justin Robinson,WAS,22,9,2,7,49,13,5,12,41.7,3,5,60,0,0,0,1,4,5,7,3,0,1,2,29.5,0,0,31
Keldon Johnson,SAS,20,5,1,4,25,13,6,15,40,0,1,0,1,2,50,2,4,6,3,1,0,0,2,23.7,0,0,4
Gabe Vincent,MIA,23,4,2,2,41,12,4,19,21.1,4,16,25,0,0,0,0,3,3,3,0,1,0,2,23.1,0,0,-3
Jarred Vanderbilt,MIN,20,11,6,5,47,12,5,8,62.5,0,1,0,2,2,100,3,6,9,2,7,3,1,6,30.8,0,0,-28
Jordan Bone,DET,22,10,3,7,53,12,5,20,25,2,10,20,0,0,0,0,4,4,8,2,1,0,6,29.8,0,0,0
Josh Magette,ORL,30,8,3,5,38,12,5,15,33.3,1,4,25,1,2,50,1,5,6,5,5,3,1,4,33.7,0,0,1
Moses Brown,POR,20,9,4,5,33,11,4,10,40,0,0,0,3,8,37.5,3,11,14,1,3,1,1,7,32.3,0,0,-33
Jalen Lecque,PHX,19,4,1,3,26,10,4,10,40,0,4,0,2,2,100,0,0,0,2,1,0,0,2,12,0,0,-22
Jonah Bolden,PHX,24,7,6,1,47,10,4,11,36.4,0,4,0,2,4,50,3,6,9,0,2,3,2,10,33.8,0,0,1
Zach Norvell Jr.,GSW,22,5,2,3,41,10,3,12,25,3,8,37.5,1,1,100,0,6,6,3,3,2,0,4,24.7,0,0,-27
Justin Patton,OKC,22,5,2,3,24,9,4,10,40,1,4,25,0,0,0,1,4,5,2,2,0,0,4,16,0,0,-16
Shamorie Ponds,TOR,21,4,4,0,11,9,3,5,60,1,2,50,2,2,100,0,1,1,2,0,0,1,2,16.2,0,0,0
Zhaire Smith,PHI,20,7,3,4,32,8,3,11,27.3,0,3,0,2,4,50,0,2,2,2,2,3,0,4,20.4,0,0,-10
DaQuan Jeffries,SAC,22,6,1,5,19,7,3,7,42.9,1,4,25,0,0,0,1,0,1,1,0,1,0,3,12.7,0,0,1
John Konchar,MEM,23,6,3,3,34,7,3,5,60,0,2,0,1,1,100,0,2,2,3,0,0,0,1,13.9,0,0,-3
KZ Okpala,MIA,20,5,2,3,26,7,3,5,60,0,1,0,1,2,50,1,4,5,1,1,2,1,2,22.5,0,0,-15
Eric Mika,SAC,25,1,0,1,19,6,2,3,66.7,0,0,0,2,2,100,2,5,7,0,0,0,0,5,14.4,0,0,8
Antonius Cleveland,DAL,26,6,4,2,22,5,2,6,33.3,0,1,0,1,2,50,0,3,3,0,1,1,1,2,13.6,0,0,-11
Devon Hall,OKC,24,5,3,2,20,5,1,5,20,0,2,0,3,4,75,0,1,1,3,1,0,0,1,9.7,0,0,20
Frank Mason,MIL,25,4,4,0,18,5,1,7,14.3,1,4,25,2,4,50,1,1,2,5,1,1,0,2,16.9,0,0,17
Max Strus,CHI,23,2,0,2,6,5,2,3,66.7,0,1,0,1,1,100,1,0,1,0,0,0,0,1,6.2,0,0,15
Ryan Anderson,HOU,31,2,1,1,14,5,2,7,28.6,1,5,20,0,0,0,0,7,7,2,1,1,0,1,18.4,0,0,7
Udonis Haslem,MIA,39,3,3,0,21,5,1,6,16.7,0,2,0,3,4,75,0,8,8,1,0,0,0,3,16.1,0,0,-14
Dewan Hernandez,TOR,23,4,4,0,11,4,1,5,20,0,1,0,2,2,100,2,5,7,0,1,1,0,6,14.4,0,0,1
Nigel Williams-Goss,UTA,25,9,5,4,28,4,1,7,14.3,0,2,0,2,2,100,2,3,5,5,2,1,1,2,21.5,0,0,7
Tariq Owens,PHX,24,3,0,3,15,4,1,5,20,0,2,0,2,2,100,2,1,3,0,0,1,0,1,10.6,0,0,-16
Zylan Cheatham,NOP,24,3,2,1,31,4,2,5,40,0,1,0,0,0,0,1,5,6,2,3,0,1,5,14.2,0,0,-30
Daryl Macon,MIA,24,4,4,0,14,3,1,3,33.3,1,2,50,0,0,0,0,0,0,1,2,0,0,1,2.5,0,0,0
Justin Anderson,BKN,26,3,2,1,17,3,1,6,16.7,0,3,0,1,2,50,0,2,2,0,0,0,1,2,8.4,0,0,-8
Marial Shayok,PHI,24,2,1,1,10,3,1,5,20,1,3,33.3,0,0,0,0,3,3,1,1,0,0,0,7.1,0,0,-10
Brian Bowen II,IND,21,3,2,1,10,2,1,4,25,0,1,0,0,0,0,0,1,1,0,0,0,1,0,6.2,0,0,3
Henry Ellenson,BKN,23,5,2,3,15,2,1,7,14.3,0,4,0,0,0,0,2,4,6,1,0,0,0,1,10.7,0,0,12
Jared Harper,PHX,22,3,1,2,8,2,1,4,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-11
Jeremiah Martin,BKN,23,2,2,0,11,2,1,4,25,0,0,0,0,0,0,0,1,1,1,0,1,0,0,7.7,0,0,3
Josh Gray,NOP,26,2,1,1,23,2,1,2,50,0,0,0,0,0,0,1,1,2,2,5,0,0,1,2.4,0,0,-7
Kyle Guy,SAC,22,2,1,1,4,2,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-3
Malik Newman,CLE,23,1,0,1,4,2,0,2,0,0,1,0,2,2,100,0,0,0,0,1,0,0,0,1,0,0,-3
Matt Mooney,CLE,23,2,0,2,5,2,1,2,50,0,1,0,0,0,0,0,1,1,1,0,0,1,1,7.7,0,0,2
Khyri Thomas,DET,23,2,1,1,6,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,0,1,0,0,-4
Paul Watson,TOR,25,5,3,2,26,1,0,8,0,0,4,0,1,2,50,0,4,4,5,0,1,1,1,19.3,0,0,11
Isaiah Roby,OKC,22,2,2,0,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-6
J.P. Macura,CLE,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Jarrell Brantley,UTA,23,3,0,3,11,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0,2,1,12.5,0,0,5
Joe Chealey,CHA,24,1,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
Josh Reaves,DAL,22,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
Justin Wright-Foreman,UTA,22,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kevin Hervey,OKC,23,6,3,3,13,0,0,5,0,0,4,0,0,0,0,0,2,2,1,0,0,0,1,3.9,0,0,-4
Kostas Antetokounmpo,LAL,22,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,-2
Marques Bolden,CLE,21,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,5.4,0,0,4
Miye Oni,UTA,22,3,2,1,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.2,0,0,-12
Quinndary Weatherspoon,SAS,23,1,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Stanton Kidd,UTA,27,4,3,1,15,0,0,3,0,0,1,0,0,0,0,0,3,3,1,2,0,0,3,3.1,0,0,-1
Talen Horton-Tucker,LAL,19,2,1,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,-7
Vic Law,ORL,24,3,0,3,4,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
William Howard,HOU,26,2,1,1,13,0,0,4,0,0,4,0,0,0,0,0,2,2,1,1,0,0,1,2.9,0,0,-16
