RK,NAME,,TEAM,SALARY
266,Bam Adebayo,PF,Miami Heat,"$3,454,080 "
267,Michael Porter Jr.,PF,Denver Nuggets,"$3,389,400 "
268,Denzel Valentine,SG,Chicago Bulls,"$3,377,569 "
269,Juan Hernangomez,PF,Minnesota Timberwolves,"$3,321,030 "
270,Sekou Doumbouya,SF,Detroit Pistons,"$3,285,120 "
271,Justin Jackson,SF,Dallas Mavericks,"$3,280,920 "
272,Troy Brown Jr.,SF,Washington Wizards,"$3,219,480 "
273,Markieff Morris,PF,Detroit Pistons,"$3,200,000 "
274,Yogi Ferrell,PG,Sacramento Kings,"$3,150,000 "
275,Zhaire Smith,SG,Philadelphia 76ers,"$3,058,800 "
276,Khem Birch,C,Orlando Magic,"$3,000,000 "
277,Quinn Cook,PG,Los Angeles Lakers,"$3,000,000 "
278,Ryan Arcidiacono,PG,Chicago Bulls,"$3,000,000 "
279,Nickeil Alexander-Walker,SG,New Orleans Pelicans,"$2,964,840 "
280,D.J. Wilson,PF,Milwaukee Bucks,"$2,961,120 "
281,Cedi Osman,SF,Cleveland Cavaliers,"$2,907,143 "
282,Donte DiVincenzo,SG,Milwaukee Bucks,"$2,905,800 "
283,Bryn Forbes,SG,San Antonio Spurs,"$2,875,000 "
284,Goga Bitadze,C,Indiana Pacers,"$2,816,760 "
285,T.J. Leaf,PF,Indiana Pacers,"$2,813,280 "
286,Alex Caruso,SG,Los Angeles Lakers,"$2,750,000 "
287,Malik Beasley,SG,Minnesota Timberwolves,"$2,731,714 "
288,Luka Samanic,PF,San Antonio Spurs,"$2,689,920 "
289,Lonnie Walker IV,SG,San Antonio Spurs,"$2,689,920 "
290,John Collins,PF,Atlanta Hawks,"$2,686,560 "
291,Kevin Huerter,SG,Atlanta Hawks,"$2,636,280 "
292,Caris LeVert,SG,Brooklyn Nets,"$2,625,718 "
293,Marko Guduric,SG,Memphis Grizzlies,"$2,625,000 "
294,DeAndre' Bembry,SG,Atlanta Hawks,"$2,603,982 "
295,Matisse Thybulle,SG,Philadelphia 76ers,"$2,582,160 "
296,Harry Giles III,PF,Sacramento Kings,"$2,578,800 "
297,Wesley Matthews,SG,Milwaukee Bucks,"$2,564,753 "
298,Rajon Rondo,PG,Los Angeles Lakers,"$2,564,753 "
299,Nene Hilario,F,Atlanta Hawks,"$2,564,753 "
300,Josh Okogie,SG,Minnesota Timberwolves,"$2,530,680 "
301,Vincent Poirier,C,Boston Celtics,"$2,505,793 "
302,Rondae Hollis-Jefferson,SF,Toronto Raptors,"$2,500,000 "
303,Manu Ginobili,G,San Antonio Spurs,"$2,500,000 "
304,Brandon Clarke,SF,Memphis Grizzlies,"$2,478,840 "
305,Terrance Ferguson,SF,Oklahoma City Thunder,"$2,475,840 "
306,Emeka Okafor,C,Philadelphia 76ers,"$2,445,085 "
307,Kendrick Perkins,C,Cleveland Cavaliers,"$2,445,085 "
308,Grayson Allen,SG,Memphis Grizzlies,"$2,429,400 "
309,Grant Williams,PF,Boston Celtics,"$2,379,840 "
310,Jarrett Allen,C,Brooklyn Nets,"$2,376,840 "
311,Pascal Siakam,PF,Toronto Raptors,"$2,351,839 "
312,Skal Labissiere,PF,Portland Trail Blazers,"$2,338,847 "
313,Chandler Hutchison,SF,Chicago Bulls,"$2,332,320 "
314,Aaron Holiday,PG,Indiana Pacers,"$2,329,200 "
315,Dejounte Murray,PG,San Antonio Spurs,"$2,321,735 "
316,Damian Jones,C,Atlanta Hawks,"$2,305,057 "
317,Darius Bazley,SF,Oklahoma City Thunder,"$2,284,800 "
318,OG Anunoby,SF,Toronto Raptors,"$2,281,800 "
319,Ante Zizic,C,Cleveland Cavaliers,"$2,281,800 "
320,Luke Kornet,PF,Chicago Bulls,"$2,250,000 "
321,Brandon Jennings,G,Milwaukee Bucks,"$2,222,803 "
322,Ty Jerome,SG,Phoenix Suns,"$2,193,480 "
323,Willie Cauley-Stein,C,Golden State Warriors,"$2,177,483 "
324,Anfernee Simons,SG,Portland Trail Blazers,"$2,149,560 "
325,Austin Rivers,PG,Houston Rockets,"$2,147,317 "
326,Nassir Little,SF,Portland Trail Blazers,"$2,105,520 "
327,Moritz Wagner,SF,Washington Wizards,"$2,063,520 "
328,Sean Kilpatrick,G,Chicago Bulls,"$2,054,856 "
329,Dylan Windler,SG,Cleveland Cavaliers,"$2,035,800 "
330,Caleb Swanigan,PF,Sacramento Kings,"$2,033,160 "
331,Ben McLemore,SG,Houston Rockets,"$2,028,594 "
332,Edmond Sumner,PG,Indiana Pacers,"$2,000,000 "
333,Torrey Craig,SF,Denver Nuggets,"$2,000,000 "
334,Noah Vonleh,PF,Minnesota Timberwolves,"$2,000,000 "
335,Landry Shamet,SG,LA Clippers,"$1,995,120 "
336,Mfiondu Kabengele,PF,LA Clippers,"$1,977,000 "
337,Kyle Kuzma,PF,Los Angeles Lakers,"$1,974,600 "
338,Jordan Poole,SG,Golden State Warriors,"$1,964,760 "
339,Tony Bradley,C,Utah Jazz,"$1,962,360 "
340,Keldon Johnson,SF,San Antonio Spurs,"$1,950,600 "
